name,url,current_price,original_price,discount_pct,rating,review_count
"CYFAZA Measuring Cups And Spoons, 10-Piece Set, Plastic, Black",https://www.jumia.co.ke/cyfaza-measuring-cups-and-spoons-10-piece-set-plastic-black-313668652.html,299,410,27,4.5,4
"Em Fan 18 Inch Floor Standing Fan - Height,Tilting Angle Adjustment  (1YR WRTY)",https://www.jumia.co.ke/em-fan-18-inch-floor-standing-fan-heighttilting-angle-adjustment-1yr-wrty-326323842.html,2399,3999,40,3.5,3
Healthy weight Scale Body Scales Weighing Meter Intelligent Electronic Scales,https://www.jumia.co.ke/generic-healthy-weight-scale-body-scales-weighing-meter-intelligent-electronic-scales-325547710.html,737,1206,39,4.7,4
AILYONS AFK-112 Water Dispenser Hot Cold And Normal - Silver (1YR WRTY),https://www.jumia.co.ke/ailyons-afk-112-water-dispenser-hot-cold-and-normal-silver-1yr-wrty-124291852.html,5799,8499,32,4.0,4
"KITCHA Electric Egg Boiler Cooker 14 Eggs Capacity Double-Layer Multifunction Heated Milk,Heated Food",https://www.jumia.co.ke/kitcha-electric-egg-boiler-cooker-14-eggs-capacity-double-layer-multifunction-heated-milkheated-food-326553937.html,1229,2680,54,4.4,4
Double Layer Electric Egg Boiler Automatic Off 14 Egg Poacher,https://www.jumia.co.ke/generic-double-layer-electric-egg-boiler-automatic-off-14-egg-poacher-326848315.html,970,2000,52,4.5,4
Smartraha life 105CM 2 Columns Portable Fabric Cloth Wardrobe Wardrobe - Grey 6 Shelves & Hanging Section,https://www.jumia.co.ke/smartraha-life-105cm-2-columns-portable-fabric-cloth-wardrobe-wardrobe-grey-6-shelves-hanging-section-327664865.html,1559,3999,61,4.0,4
Nunix Aluminium Pressure Cooker - Explosion Proof - 5 Litres - Silver,https://www.jumia.co.ke/nunix-aluminium-pressure-cooker-explosion-proof-5-litres-silver-169297389.html,2099,2400,13,4.0,4
"Smartraha life 3 Pieces Motivational Navy Water Bottle Set – BPA-Free Sports Flask with Time Marker, Large Capacity 1200ml/700ml/260ml, Black Fitness Jug for Gym & Daily Use",https://www.jumia.co.ke/smartraha-life-3-pieces-motivational-navy-water-bottle-set-bpa-free-sports-flask-with-time-marker-large-capacity-1200ml700ml260ml-black-fitness-jug-for-gym-daily-use-328437806.html,729,1200,39,3.0,3
Lyons FY-B906 Stainless Steel 2 In 1 Blender With Unbreakable Jar & Grinder Machine 1.5L - 350W (1YR WRTY),https://www.jumia.co.ke/lyons-fy-b906-stainless-steel-2-in-1-blender-with-unbreakable-jar-grinder-machine-1.5l-350w-1yr-wrty-306678451.html,2059,3899,47,4.3,4
"Mythco 2 Pack Tactical Flashlights Torch, 5 Modes 3000 High Lumens Led",https://www.jumia.co.ke/mythco-2-pack-tactical-flashlights-torch-5-modes-3000-high-lumens-led-297592773.html,699,1000,30,3.7,3
"Smartraha life 3 Pieces Motivational Black Water Bottle Set – BPA-Free Sports Flask with Time Marker, Large Capacity 1200ml/700ml/260ml, Black Fitness Jug for Gym & Daily Use",https://www.jumia.co.ke/smartraha-life-3-pieces-motivational-black-water-bottle-set-bpa-free-sports-flask-with-time-marker-large-capacity-1200ml700ml260ml-black-fitness-jug-for-gym-daily-use-328422490.html,739,1200,38,3.3,3
"EAGEAT Create Your Own Sunset! 16-Color RGB Projector Night Light with Remote, for Bedroom Decor & Ambiance",https://www.jumia.co.ke/eageat-create-your-own-sunset-16-color-rgb-projector-night-light-with-remote-for-bedroom-decor-ambiance-325941184.html,345,1608,79,4.5,4
Smartraha life RahaLife 7 Layers Shoes Racks Assemble Shelves Storage Organizing Rack Small furniturer High-footed design,https://www.jumia.co.ke/smartraha-life-rahalife-7-layers-shoes-racks-assemble-shelves-storage-organizing-rack-small-furniturer-high-footed-design-325848293.html,849,1299,35,3.8,3
Smartraha life RahaLife 20nch Stainless Steel Dish Rack-2 Tier,https://www.jumia.co.ke/smartraha-life-rahalife-20nch-stainless-steel-dish-rack-2-tier-326516994.html,1068,2999,64,4.1,4
Smartraha life RahaLife Stainless Steel Pots 5pcs pots 5pcs lids Cookware Sets,https://www.jumia.co.ke/smartraha-life-rahalife-stainless-steel-pots-5pcs-pots-5pcs-lids-cookware-sets-326819239.html,3299,8999,63,3.6,3
"KITCHA 470ml Glass Olive Oil Sprayer & Dispenser 2 in 1 – Food Grade BPA Free Oil Spray Bottle with Portion Control for Cooking, Salad, Frying & BBQ (Green)",https://www.jumia.co.ke/kitcha-470ml-glass-olive-oil-sprayer-dispenser-2-in-1-food-grade-bpa-free-oil-spray-bottle-with-portion-control-for-cooking-salad-frying-bbq-green-326560259.html,649,1340,52,4.4,4
4Pcs Set Of Stainless Aluminum Sufuria cooking sufuria Size 1 2 3 4 plus free 6 spoons -without Lids,https://www.jumia.co.ke/generic-4pcs-set-of-stainless-aluminum-sufuria-cooking-sufuria-size-1-2-3-4-plus-free-6-spoons-without-lids-325239523.html,899,1500,40,3.5,3
"VON VRT-195DRHS Double Door Direct Cool Fridge - 195L, Dark Silver  (1YR WRTY)",https://www.jumia.co.ke/von-vrt-195drhs-double-door-direct-cool-fridge-195l-dark-silver-1yr-wrty-305389486.html,29999,48995,39,4.4,4
